Frames: 21604
Frame Time: 0.008333
0.2761124 1.559786 0.06836217
0.2762286 1.559805 0.06852709
0.2763211 1.559828 0.06867078
0.276408 1.559834 0.06877799
0.2764002 1.559835 0.06881028
0.2763454 1.559837 0.06879333
0.2762371 1.559811 0.06874068
0.2762474 1.559804 0.06880226
0.2762041 1.559813 0.06880167
0.2762188 1.559827 0.06887065
0.2762938 1.559842 0.06890184
0.2763581 1.559852 0.06895285
0.2764205 1.559846 0.06896623
0.2764084 1.559839 0.06897044
0.2763909 1.55983 0.06896308
0.2764549 1.559832 0.06894112
0.2764559 1.559834 0.06890231
0.2764413 1.559835 0.06884859
0.2764344 1.559824 0.06876638
0.2763807 1.559801 0.06872429
0.2763503 1.559791 0.06872611
0.2763709 1.55978 0.06880118
0.2763743 1.55979 0.06879639
0.2763947 1.559811 0.06876824
0.2764448 1.559828 0.06869775
0.276483 1.559832 0.06866366
0.2764629 1.559818 0.06861959
0.2764184 1.559811 0.06858424
0.2763929 1.559814 0.06856285
0.2763847 1.559823 0.06853888
0.2763536 1.559836 0.06841771
0.2763209 1.559822 0.06836164
0.2762621 1.559797 0.06832482
0.2761886 1.559781 0.06839262
0.2761621 1.559768 0.06849304
0.2761188 1.559781 0.06856387
0.2760836 1.559797 0.06856986
0.2760604 1.559804 0.06849319
0.2760775 1.559794 0.06847618
0.2760234 1.559765 0.0685429
0.2759634 1.559726 0.0685712
0.2759262 1.559697 0.06856261
0.2759 1.559695 0.06852349
0.2758725 1.559696 0.06834951
0.2758343 1.559691 0.06822065
0.2758348 1.559677 0.0681637
0.2758209 1.55965 0.06822317
0.2758125 1.559635 0.06831402
0.2758204 1.55963 0.06826469
0.2758587 1.559655 0.06826779
0.2759084 1.559696 0.06818809
0.2759315 1.559719 0.06808215
0.2759383 1.559712 0.06808614
0.2759732 1.559688 0.06812371
0.2759776 1.559663 0.06813897
0.2759847 1.55966 0.06811076
0.2759582 1.559667 0.06798104
0.2759473 1.559691 0.06786589
0.2759221 1.559689 0.06781178
0.2759432 1.559681 0.0678599
0.2759112 1.559654 0.06795654
0.2759068 1.559644 0.06802651
0.2759183 1.55966 0.06798138
0.275932 1.559686 0.06790105
